Username,SECTION #'S Text Grade <Text>,PRELAB,PROJECT REPORTS,PROJECT PROPOSALS,ORAL PRESENTATION,INSTRUCTOR LAB PERFORMANCE EVALUATION,Calculated Final Grade,End-of-Line Indicator
,002C,17.5,36.83333333,14.71875,9.7,13,93.58533334,#
,007D,6.041666667,9.166666667,10.03125,0,8.97,36.12616668,#
,002D,18.125,35.16666667,13.921875,9.5,12.74,91.45345834,#
,002D,17.5,35.02666667,13.6875,9.5,12.74,90.37075001,#
,002A,16.875,35.75,12.28125,9.3,11.96,88.16616668,#
,003C,1.458333333,29.66666667,10.3125,9.504,12.22,64.91141668,#
,002B,16.875,26.25,10.921875,8,11.96,76.00679168,#
,001B,14.58333333,33.86666667,11.203125,8.9,12.09,82.643125,#
,001A,15.20833333,34.39666667,14.015625,8.528,11.57,85.67687501,#
,002D,11.25,30,10.59375,9.5,11.96,75.30366668,#
,004A,16.45833333,30.83333333,12.46875,8.6,12.74,82.97533334,#
,006B,11.25,32,11.90625,9.1,10.79,77.04616668,#
,004E,16.66666667,35.66666667,13.6875,9.17,11.7,88.80741668,#
,003C,8.958333333,29.5,13.125,9.21,11.83,74.62325001,#
,004A,16.04166667,37,14.34375,8.6,13,90.98533334,#
,002A,11.25,24.33333333,13.265625,8.7,9.88,69.30387501,#
,004F,13.95833333,19.66666667,9,9.5,12.74,66.86491668,#
,004B,15.625,28.63333333,10.640625,8.79,11.7,77.38887501,#
,007A,13.33333333,30.16666667,11.625,9,11.882,77.92358334,#
,002C,17.91666667,33.08333333,14.71875,9.7,13,90.25200001,#
,003A,3.125,4.166666667,6.09375,0,9.62,25.00533334,#
,006B,16.04166667,30.66666667,12.65625,9.1,11.31,81.73283334,#
,002D,14.58333333,32.72333333,12.515625,8.25,12.22,82.29220834,#
,003C,5.833333333,23,12.1875,0,8.84,51.86075001,#
,006B,11.875,31.86666667,11.953125,9.3,10.92,77.24804168,#
,002B,12.70833333,17.58333333,10.640625,8.9,12.61,64.40054168,#
,004D,3.333333333,33.33333333,6.5625,9.3,13,67.44575001,#
,001A,16.875,28.14,12.515625,8.771,11.44,79.69987501,#
,007A,5,0,9.5625,0,4.81,21.16408334,#
,002B,15.83333333,21.66666667,12.09375,8.7,11.44,71.69200001,#
,001B,18.125,34.16666667,13.453125,8.8,12.415,88.95979167,#
,004B,16.04166667,29.43333333,10.59375,8.5,11.83,78.39866668,#
,002B,17.70833333,33,13.734375,9.5,12.22,88.16262501,#
,004B,12.91666667,28.6,9.9375,7.31,11.05,71.81408334,#
,003B,16.66666667,31.75,11.578125,8.85,12.22,83.06470834,#
,002A,17.5,33,13.734375,9,10.66,85.89429168,#
,004D,15.20833333,25.58333333,12.75,9.3,13,77.75825001,#
,003C,16.04166667,33.83333333,13.875,9.08,11.44,86.26991668,#
,001B,12.70833333,25.73333333,11.25,7,11.57,70.26166667,#
,007A,12.08333333,9,11.25,9,12.012,55.26191668,#
,007B,16.04166667,25.16666667,13.3125,9.4,11.44,77.36075001,#
,006B,12.5,11,9.46875,8.8,10.738,53.92333334,#
,004F,15,32,12.5625,9.25,13,83.81241668,#
,002D,14.375,26.32666667,13.21875,8.45,11.7,76.07033334,#
,003B,13.75,27.94333333,9.73125,7.05,12.74,73.21450001,#
,003B,18.75,36.97333333,13.359375,8.5,12.48,92.06262501,#
,006C,6.875,19.73333333,11.390625,7.67,10.4,58.06887501,#
,004A,13.75,35.66666667,14.4375,8.1,12.48,86.35075001,#
,002A,15,30.83333333,11.953125,8.2,10.92,78.90637501,#
,004D,18.54166667,31.27666667,14.625,9.2,13,88.64325001,#
,006B,16.25,34.03333333,12.75,9.4,11.83,86.22158334,#
,007A,19.16666667,33.16666667,13.03125,8.5,11.648,87.51250001,#
,005A,10.83333333,32,12.375,8.6,12.935,78.74325001,#
,004D,17.70833333,30,11.71875,9.4,13,83.61866668,#
,004F,13.95833333,25.33333333,11.625,8,10.14,71.05658334,#
,007D,12.70833333,34.33333333,12.75,9,12.116,82.86591668,#
,001B,12.70833333,30.66666667,11.90625,9,11.83,77.98625,#
,004C,16.45833333,28.33333333,8.296875,8.62,10.4,74.10845834,#
,001B,19.58333333,31.93333333,11.8125,7.6,11.635,84.56416667,#
,004A,14.16666667,33.5,13.875,8.1,12.48,84.07991668,#
,006A,12.08333333,28.45566667,12.046875,9.75,13,77.33579168,#
,003C,13.125,7.933333333,8.874375,7.55,11.128,50.56895834,#
,004D,17.91666667,33.27666667,14.625,9.2,13,89.97658334,#
,003B,14.58333333,32,13.171875,7.82,10.92,80.45345834,#
,004A,14.375,35.33333333,13.6875,8.9,12.48,86.77575001,#
,004E,17.29166667,36.41666667,14.53125,9.18,12.22,91.63950001,#
,004E,8.541666667,32.75,10.430625,6.04,10.92,70.64054168,#
,006A,10.41666667,31.66666667,10.96875,9.5,10.66,75.12866668,#
,004A,15.625,34.83333333,13.6875,8.9,12.22,87.26575001,#
,004E,12.5,21.01666667,14.0625,8.3,10.66,68.53908334,#
,006A,16.45833333,29.03333333,13.828125,9.56,12.74,83.57804168,#
,004D,13.75,31.66666667,10.875,9,11.96,79.20991668,#
,004E,17.08333333,30,13.59375,9.3,11.18,83.15700001,#
,007D,5.833333333,19.16666667,13.59375,0,9.542,49.96900001,#
,001B,16.66666667,34.35,12.328125,8.94,12.285,86.56979167,#
,001A,15,36.15333333,14.390625,9.572,12.22,89.29420834,#
,002B,18.33333333,27.66666667,12.796875,8.7,11.44,80.81179168,#
,004B,16.875,34.33333333,12.9375,8.65,12.558,87.31208334,#
,004D,14.58333333,33.5,13.96875,9.2,13,86.25200001,#
,006A,15,29.62333333,12.46875,9.75,12.74,81.58200001,#
,003C,8.125,6.966666667,2.203125,4,12.506,35.80070834,#
,006C,2.5,12.16666667,8.90625,8.2,11.96,45.73283334,#
,004F,18.33333333,37,13.5,9.25,13,93.04158334,#
,007B,12.29166667,29.5,8.71875,8,12.22,72.68866668,#
,004D,16.45833333,33.83333333,13.125,8.9,13,87.31658334,#
,002A,15.625,31.33333333,13.265625,8.4,9.75,80.37387501,#
,004F,7.708333333,10.66666667,6.5625,4,8.84,39.61075001,#
,003B,13.95833333,24.61,10.03125,7.35,12.22,70.12783334,#
,004F,19.58333333,37.33333333,13.96875,9.5,13,95.38533334,#
,007D,17.70833333,32,13.3125,9,12.61,86.58908334,#
,002B,14.58333333,27.75,10.96875,8,11.96,74.92866668,#
,004D,14.58333333,31.19333333,12.84375,9,12.48,82.05866668,#
,002B,15.625,29.95,14.15625,9,12.22,82.95116668,#
,001B,15.41666667,31.16666667,12.1875,8.87,11.83,81.42916667,#
,004A,19.58333333,38.33333333,14.4375,8.9,12.48,95.73408334,#
,002D,13.33333333,29.2,11.671875,8.45,12.22,76.87512501,#
,004F,16.45833333,33,13.125,9.25,12.48,86.27158334,#
,001B,15.625,30.83333333,11.953125,8.8,11.96,81.17145833,#
,003A,16.04166667,37.33333333,14.34375,9.1,13,91.73533334,#
,003C,14.79166667,31.66666667,12.75,9.21,11.44,81.77491668,#
,007B,15.83333333,35.33333333,14.25,8.7,12.48,88.59658334,#
,004F,15.625,27.33333333,12.5625,8,11.7,77.22075001,#
,004D,10.41666667,27.08,10.78125,8.9,13,72.09450001,#
,001A,14.16666667,32.19666667,12.375,8.498,11.83,81.06625001,#
,004F,17.70833333,28.33333333,10.875,9.5,13,81.41658334,#
,003C,17.70833333,38.5,14.90625,9.51,12.09,94.71450001,#
,007B,10,14,13.40625,9.4,12.22,60.85950001,#
,004A,15.83333333,35.5,14.625,8.1,12.74,88.79825001,#
,006C,18.33333333,36.1,13.03125,9.05,12.22,90.69283334,#
,004B,15.41666667,33.83333333,12.9375,9,12.558,85.66208334,#
,004F,12.08333333,29.5,12.9375,8,12.22,76.65741668,#
,004B,18.54166667,33.66666667,12.890625,9,12.558,88.65687501,#
,001B,18.33333333,34.2,13.453125,8.96,12.675,89.62145833,#
,002D,15.20833333,34.3,13.96875,8.55,11.7,85.68533334,#
,006C,17.08333333,22.26666667,7.5,8.2,9.62,66.62825001,#
,001B,14.375,31.6,11.71875,8.04,11.7,79.35041667,#
,004D,12.29166667,29.49666667,12.1875,8.9,13,77.87575001,#
,004F,18.125,34.33333333,14.25,9,13,90.66658334,#
,004A,15.41666667,32.33333333,13.125,8.2,12.48,83.51325001,#
,004A,15,31.66666667,14.25,8.4,11.96,83.19325001,#
,006A,7.708333333,10.7,11.765625,9.66,11.7,53.45054168,#
,006C,2.916666667,25.83333333,10.96875,8.6,11.44,61.75866668,#
,007B,10.83333333,27,12,8.6,11.96,72.22658334,#
,006A,15.625,36,12.140625,9.8,11.7,87.22387501,#
,004C,18.95833333,34.96666667,13.21875,8.6,9.62,87.36366668,#
,004F,16.875,22.5,11.25,7.5,12.22,72.05325001,#
,004D,18.125,31,11.4375,9,13,84.47908334,#
,006C,1.666666667,20.33333333,5.765625,6.16,11.44,47.28220834,#
,007D,15.41666667,31.66666667,13.875,9,12.61,84.52658334,#
,007D,9.375,36.66666667,8.90625,9,12.116,78.06383334,#
,002D,15.83333333,31.52666667,12,8.55,12.22,82.08825001,#
,006C,17.5,33.33333333,12.75,9,10.4,84.98325001,#
,004B,10,31.1,9.09375,8.3,11.44,71.93366668,#
,002B,18.33333333,23.16666667,12.46875,8.7,11.18,75.84866668,#
,002A,18.54166667,35.41666667,14.296875,8.7,13,91.95512501,#
