Username,SECTION #'S Text Grade <Text>,PRELAB,PROJECT REPORTS,PROJECT PROPOSALS,ORAL PRESENTATION,INSTRUCTOR LAB PERFORMANCE EVALUATION,Calculated Final Grade,End-of-Line Indicator
,007J,9.166666667,24.16666667,9.046875,8.77,10.66,63.81012501,#
,006I,17.29166667,31.16666667,13.6875,9.8,10.92,84.69908334,#
,001I,18.75,39,14.90625,9.8,12.48,96.93616668,#
,005J,13.75,17.33333333,11.625,8.2,8.84,61.74825001,#
,003K,14.16666667,32.5,13.921875,8.5,13,84.08845834,#
,006J,13.95833333,35.91666667,10.125,9.25,12.09,83.34,#
,005K,6.25,31.33333333,11.4375,9,11.96,71.06416667,#
,005I,2.5,31.33333333,11.953125,8.9,12.61,69.29637501,#
,006J,16.45833333,25.6,11.0625,9,12.48,76.60083333,#
,001I,11.25,33.33333333,13.125,9,11.83,80.53825001,#
,001I,14.79166667,29,13.3125,9.8,11.7,80.52075001,#
,005J,17.5,35,14.0625,8.2,11.96,88.68075001,#
,007J,5.625,29.08333333,11.296875,6.56,11.18,65.53679168,#
,001K,4.791666667,28.33333333,5.484375,8.2,11.31,60.11929168,#
,007J,15.20833333,31.25,9.984375,8.77,10.92,78.13262501,#
,005J,14.16666667,15.33333333,13.3125,9.5,11.7,66.01241668,#
,006I,0,16.5,7.03125,9.8,11.18,45.34450001,#
,007J,6.458333333,26.58333333,12.421875,7.09,11.18,65.06679168,#
,003K,13.33333333,29.16666667,12.65625,8,12.48,77.63616668,#
,007J,15.83333333,36.66666667,14.4375,8.31,12.22,89.46741668,#
,003K,17.70833333,31.5,13.921875,9.5,12.74,87.37012501,#
,007J,13.33333333,31.83333333,11.15625,6.64,11.18,76.14283334,#
,001K,17.5,34.91666667,14.390625,8.8,11.96,89.56720834,#
,001K,16.25,33.33333333,12.046875,8,11.83,83.46012501,#
,005J,9.166666667,32,12.375,8.2,12.22,75.96158334,#
,001I,18.33333333,38.33333333,14.4375,9.5,12.48,95.08408334,#
,005I,19.16666667,25.5,12.9375,7.8,12.09,79.49408334,#
,001K,14.375,29.75,12.984375,8.8,11.31,79.21929168,#
,007J,17.5,31.25,12.5625,7.6,11.18,82.09241668,#
,003K,1.666666667,0,3.609375,0,2.6,9.834291677,#
,001K,18.54166667,32.41666667,13.078125,8.4,12.22,86.61470834,#
,001K,16.66666667,30.41666667,11.203125,8.4,11.96,80.64637501,#
,001I,19.375,32.83333333,13.3125,9,11.44,87.96075001,#
,005I,2.5,0,0,0,0,4.374916677,#
,001I,18.95833333,26.33333333,9.46875,9.2,11.18,77.05700001,#
,005K,2.083333333,34,11.4375,9,11.83,69.5175,#
