Username,SECTION #'S Text Grade <Text>,PRELAB,PROJECT REPORTS,PROJECT PROPOSALS,ORAL PRESENTATION,INSTRUCTOR LAB PERFORMANCE EVALUATION,Calculated Final Grade,End-of-Line Indicator
,005D,17.5,32.83333333,12.75,9.1,13,87.09991668,#
,006E,16.04166667,31.66666667,13.875,8.3,10.92,82.80325001,#
,002H,18.95833333,37.81,15,9,13,95.76825001,#
,007E,15.20833333,30.27666667,12.375,10,13,82.85991668,#
,005F,10.41666667,24.4,12.84375,8.26,11.7,69.62033334,#
,002F,17.08333333,39,12.9375,10,13,94.02075001,#
,005E,12.5,31.66666667,12.375,9.5,12.22,80.17825001,#
,006D,14.16666667,26,8.765625,9.9,11.18,71.92887501,#
,001C,15.20833333,35,12.75,8.8,13,86.75825001,#
,003D,12.5,33.66666667,12.9375,9,10.92,80.98241668,#
,002F,18.95833333,36.83333333,14.625,8.5,12.48,93.35491668,#
,006D,17.08333333,30.33333333,13.546875,9.9,13,85.86345834,#
,002E,17.29166667,35.83333333,12.9375,8.8,11.7,88.56241668,#
,007E,17.70833333,31.5,14.25,8.2,12.22,85.87825001,#
,005B,13.95833333,21.05566667,11.578125,9.36,11.44,69.26704168,#
,003E,13.54166667,8.5,11.671875,9,10.53,55.20179168,#
,002F,17.70833333,34.5,15,8.5,13,90.66658334,#
,005D,8.541666667,29.75,9.1875,9.1,13,71.57908334,#
,002F,9.166666667,7.2,5.25,8.22,10.66,42.32991668,#
,007F,13.75,25.33333333,13.5,9.05,12.48,76.07166667,#
,007E,16.04166667,34.16666667,13.3125,10,13,88.43741668,#
,005B,0,0,0,0,0,0,#
,003D,16.66666667,37,13.5,9.2,11.7,90.06658334,#
,002G,16.04166667,29.13333333,7.59375,8.5,10.01,73.23700001,#
,005D,13.33333333,34.25,12.28125,8.8,13,83.62283334,#
,001C,12.29166667,18.5,12.5625,8.68,12.48,66.43075001,#
,003E,0,0,0,0,0,0,#
,007E,15,34.33333333,12.75,9.3,11.7,85.08325001,#
,001C,10.625,26.33333333,12,8.8,12.74,72.49825001,#
,007E,19.16666667,38.16666667,12.375,10,13,94.70825001,#
,001C,5.625,8.333333333,5.625,9.3,10.4,41.15825001,#
,005E,15,34.91666667,13.5,9.7,12.74,87.77325001,#
,003E,8.958333333,23.5,10.03125,8.43,11.05,63.80283334,#
,001C,15.41666667,27.16666667,13.5,8,12.22,78.30325001,#
,007F,14.375,36.83333333,13.875,9.1,11.44,87.58166667,#
,001C,13.33333333,32,12.375,9.5,12.22,81.38658334,#
,002F,18.33333333,28.46333333,7.875,7.91,10.4,74.98158334,#
,002F,16.66666667,32.37666667,13.21875,10,13,87.13700001,#
,005E,16.25,34.65,13.6875,9.8,12.22,88.60741668,#
,005D,16.04166667,33.33333333,11.0625,8.8,13,84.23741668,#
,005C,18.95833333,29.19333333,13.21875,8.8,11.05,83.13700001,#
,005D,7.083333333,30.66666667,9.1875,9.1,11.44,69.47741668,#
,007F,5.416666667,37.16666667,10.6875,9,13,77.27083333,#
,001C,15.83333333,32.83333333,9.9375,9.4,12.74,82.74408334,#
,003D,16.45833333,36.33333333,14.8125,9.5,11.7,90.80408334,#
,002G,17.91666667,37.4,14.0625,9.8,12.22,93.35741668,#
,003D,17.70833333,37,13.125,9,11.44,90.27325001,#
,006D,17.08333333,34.5,13.78125,9.6,13,89.96450001,#
,003D,18.75,34.66666667,15,9.2,10.92,90.53658334,#
,001C,9.166666667,32.33333333,13.3125,8,11.96,76.68908334,#
,006D,16.66666667,28.33333333,11.53125,9.6,12.35,80.39783334,#
,003E,17.91666667,31.41666667,10.78125,8.51,11.44,82.06450001,#
,005F,16.04166667,31.95,13.875,8.03,11.96,83.85658334,#
,007E,4.583333333,0,10.125,0,10.4,27.10825001,#
,005C,17.08333333,32,13.171875,9,12.48,85.65179168,#
,003E,9.791666667,32.08333333,9.75,8.51,11.18,73.31491668,#
,005D,17.5,29.91666667,12.5625,9.1,13,84.07908334,#
,003D,19.58333333,31,13.875,9.2,11.44,87.09825001,#
,005D,11.875,25.16666667,10.3125,8.9,11.7,69.82908334,#
,001C,13.33333333,30,10.5,9.8,10.92,76.17825001,#
,005C,14.79166667,35.5,13.96875,9.1,12.48,87.84033334,#
,005F,14.375,28.26666667,13.78125,8.03,12.025,78.35283334,#
,003E,13.75,35.08333333,12.984375,8.7,12.22,84.65429168,#
,006E,9.583333333,33.66666667,11.25,8.8,12.48,77.69658334,#
,001C,13.33333333,33.83333333,12.1875,9.5,13,83.85408334,#
,007F,12.5,37.66666667,13.875,9.2,13,88.24166667,#
,002F,13.75,30.35666667,14.0625,8.83,11.96,80.95908334,#
,006D,6.875,9.666666667,6.890625,10,12.22,47.52720834,#
,005E,12.5,25.60833333,12.375,9.5,12.35,74.33325001,#
,002F,18.33333333,37,14.90625,9,13,94.19783334,#
,001C,14.16666667,33.16666667,12,9.5,13,83.83325001,#
,006E,11.45833333,29.33333333,12.28125,8.2,12.22,75.49283334,#
,005D,1.875,29.5,13.3125,9.2,13,68.80408334,#
,006D,16.66666667,35.66666667,14.0625,9.6,13,90.99575001,#
,002G,16.04166667,32.83333333,13.078125,9,10.66,83.57137501,#
,003D,15.83333333,27.33333333,14.25,8.2,11.96,79.57658334,#
,005C,19.79166667,34,13.828125,9,12.74,91.35970834,#
,005F,19.16666667,37.63333333,13.996875,8.5,11.7,92.99679168,#
,005F,18.95833333,37.5,13.6875,8.8,12.48,93.42575001,#
,002E,18.54166667,36.8,13.3125,8.2,10.92,89.77408334,#
,005E,13.75,35.83333333,13.21875,9.7,12.61,87.07033334,#
,005D,8.333333333,30.33333333,13.3125,9.2,12.22,75.39908334,#
,003D,18.33333333,35.66666667,13.875,9,11.7,90.57491668,#
,006D,19.16666667,32.33333333,13.6875,9.6,12.09,88.87741668,#
,007F,19.375,35.43333333,14.25,9.05,12.48,92.58833333,#
,005C,15.41666667,29.66666667,13.640625,8.8,11.57,81.09387501,#
,002E,18.95833333,37.2,14.0625,8.2,10.4,90.73741668,#
,003E,17.5,34.91666667,13.265625,8.7,11.96,88.34220834,#
,007E,17.70833333,35.27666667,13.875,10,12.22,91.07991668,#
,006D,13.95833333,27.5,8.390625,9.9,12.48,74.14554168,#
,002G,19.375,38,12.515625,9.2,11.44,92.53054168,#
,006E,7.708333333,37.33333333,14.25,8.6,12.22,82.11158334,#
,001C,16.875,28.33333333,13.3125,9.4,13,82.87908334,#
,002H,17.91666667,35.16666667,14.8125,8.5,13,91.35408334,#
,005C,16.45833333,34.33333333,13.21875,9,12.48,87.44866668,#
,003E,14.375,32.25,11.671875,9,11.57,80.78345834,#
,005C,15.625,20.55333333,12.328125,9,12.22,71.64304168,#
,002E,19.375,36,12.9375,9,12.48,91.79241668,#
,005F,13.33333333,35.3,13.48125,8.5,11.7,83.98116668,#
,002H,18.125,35.77,13.5,8.5,13,90.89491668,#
,002G,20,36.83333333,14.4375,9.4,12.22,94.89075001,#
,005D,15,35.16666667,12.75,9,12.22,86.13658334,#
,005E,17.70833333,34.91666667,14.0625,9.6,11.96,90.20575001,#
,002F,15.83333333,38.64666667,13.21875,8.72,13,91.41866668,#
,005F,17.91666667,35.13333333,13.85625,8.5,11.7,89.10616668,#
,007F,18.75,35.83333333,13.6875,9.3,11.96,91.53083333,#
,003D,16.875,36,15,8.2,11.44,89.51491668,#
,002G,17.91666667,34.66666667,12.5625,9.4,11.05,87.55408334,#
,002G,18.95833333,37.46666667,12.84375,9.5,11.18,91.94866668,#
,003E,17.5,35,13.828125,8.7,11.96,88.98804168,#
,005F,18.54166667,35.41666667,14.25,8.53,11.7,90.43825001,#
,001C,17.29166667,30,12.1875,8.8,12.74,83.01908334,#
,007F,17.08333333,32.16666667,13.125,9.5,12.48,86.355,#
,002G,12.91666667,15.5,9.703125,9,10.79,59.74304168,#
,005E,16.04166667,32.98333333,12.75,9.4,12.09,85.26491668,#
,007F,18.95833333,33.33333333,14.25,9.5,11.96,90.00166667,#
,006D,18.125,33.16666667,13.96875,9.6,12.09,88.86700001,#
,002H,16.875,29.78,14.0625,8.14,12.74,83.59741668,#
,002F,14.16666667,32.03333333,13.03125,8.5,13,82.73116668,#
,002G,18.125,34.16666667,11.240625,9.2,11.05,85.74054168,#
,002F,17.5,39,13.78125,8.72,13,94.00116668,#
,002H,17.70833333,37.29333333,15,8,12.74,92.74158334,#
,002G,14.79166667,34.1,12.328125,9,11.18,83.39970834,#
,002G,19.58333333,36.6,13.3125,9.4,12.22,93.11575001,#
,002F,19.79166667,34.33333333,13.3125,8.5,13,90.93741668,#
,006E,16.875,33,11.625,8.2,12.22,83.91991668,#
,006E,12.91666667,19.33333333,10.125,8.6,11.7,64.67491668,#
,002F,18.75,33.66666667,13.40625,8.5,13,89.32283334,#
,002F,17.5,36.92,12.28125,8.22,13,89.87950001,#
,006D,17.70833333,36.5,14.109375,10,13,93.31762501,#
,002H,13.33333333,32.96,14.4375,7.98,11.7,82.36908334,#
,005F,18.125,37.16666667,14.8125,9.01,11.96,93.03241668,#
,002E,16.04166667,37,14.15625,9,12.48,90.67783334,#
,005C,16.25,34.83333333,12.75,8.8,11.7,86.29158334,#
,002E,19.58333333,36.83333333,12.46875,9,11.7,91.54366668,#
,005F,17.91666667,32.95,12.84375,8.67,11.96,86.29866668,#
,002H,18.33333333,36.66666667,14.0625,10,13,94.02075001,#
,007E,9.791666667,34,13.6875,10,12.22,81.69908334,#
,007F,16.25,32.66666667,14.15625,9.5,12.48,87.05291667,#
,002G,17.5,33.66666667,13.21875,9.4,10.92,86.70533334,#
,002H,16.45833333,36,13.6875,10,13,91.14575001,#
,002H,17.08333333,34.14333333,13.6875,8.5,13,88.41408334,#
,007E,16.45833333,30.23333333,12.65625,8.7,11.18,81.22783334,#
,006E,17.70833333,38,13.875,8.3,10.92,90.80325001,#
,002H,18.33333333,36.5,14.625,8.5,13,92.95825001,#
,005E,16.04166667,27.16666667,13.359375,9.2,11.18,78.94762501,#
,002E,19.375,32.76,13.6875,8.37,10.66,86.85241668,#
,007F,18.95833333,35.5,14.0625,9.3,12.48,92.30083333,#
,002H,18.125,37.96,15,8,12.74,93.78325001,#
,002F,19.58333333,35,13.3125,8.5,13,91.39575001,#
,006E,15.625,36.66666667,13.875,8.6,12.48,89.24658334,#
,003D,18.125,36.66666667,15,8.2,11.18,91.17158334,#
,005B,14.58333333,29.689,10.6875,9.6,12.48,79.03975001,#
,006D,19.375,35.5,14.625,9.6,13,94.09991668,#
,003E,13.75,33.25,12.140625,9,11.05,81.19054168,#
,005F,0.416666667,13.23333333,8.625,7.04,11.18,42.41158334,#
,002E,18.95833333,33.33333333,12.28125,8.85,10.66,86.08283334,#
,005E,19.16666667,35.79166667,12.234375,10,11.31,90.50262501,#
,007E,12.70833333,30.91666667,12.1875,10,11.18,78.99241668,#
,003E,11.45833333,31.83333333,12,8.5,10.4,76.19158334,#
,005E,16.66666667,38.51666667,14.53125,9.9,12.48,94.09450001,#
,005F,18.95833333,32.76666667,13.6875,8.81,11.96,88.18241668,#
,002G,19.375,36.66666667,13.546875,9.4,11.7,92.64679168,#
,005B,17.91666667,40,14.53125,10,12.74,97.18783334,#
,006E,16.66666667,31.33333333,12.9375,7.9,12.22,82.97408334,#
,005B,15.20833333,30.12233333,9.375,9.46,11.7,77.69891668,#
,005F,17.70833333,34.56666667,14.15625,9.02,12.48,89.93116668,#
,001C,13.33333333,32.5,12.5625,9.4,13,82.71241668,#
,002H,8.541666667,35.53333333,14.25,7.72,12.48,80.52491668,#
,002E,19.16666667,32.76666667,13.96875,8.37,10.92,87.19200001,#
,002F,16.04166667,27.33333333,12.1875,10,12.74,80.30241668,#
,003E,15.83333333,32,12.5625,8.62,11.57,82.58575001,#
,002H,18.75,34.85,15,8,12.48,91.07991668,#
,005C,17.5,37.83333333,14.34375,9.1,12.74,93.51700001,#
,002E,19.375,36.5,14.34375,8.73,10.66,91.60866668,#
,005B,18.95833333,31.44433333,11.484375,9.53,12.22,85.63695834,#
,005E,14.58333333,15,12.375,9.2,12.48,65.63825001,#
,007F,15.83333333,34.33333333,14.0625,9,11.96,87.10583333,#
,006D,19.58333333,34.5,13.734375,9.5,11.44,90.67429168,#
,003D,17.70833333,37,14.625,9.2,11.7,92.14991668,#
,002F,17.08333333,33,13.40625,8.5,13,86.98950001,#
,002H,18.33333333,33.66666667,14.625,10,13,91.62491668,#
,005F,10.83333333,31.4,12.28125,8.67,11.96,77.06116668,#
,006D,3.75,25.33333333,13.078125,9.4,10.92,64.48137501,#
,006E,15.20833333,33.33333333,13.3125,7.9,11.96,83.71408334,#
,005E,17.5,34.58333333,12.65625,10,11.7,88.43950001,#
,002G,19.375,36,14.109375,9.4,12.22,93.10429168,#
,001C,9.166666667,31.83333333,14.0625,8,11.96,77.02241668,#
,007E,17.91666667,34.39,13.875,10,13,91.18158334,#
,007F,16.875,35.16666667,14.625,9,12.48,90.14666667,#
,002E,19.79166667,34.9,13.78125,8.41,10.4,89.28283334,#
,005B,13.125,34.67233333,11.4375,8.91,10.4,80.46141668,#
,002G,19.79166667,37,13.21875,9,11.31,92.32033334,#
,002E,20,33.83333333,13.96875,8.57,10.66,89.03200001,#
,003D,17.70833333,37.66666667,14.8125,9.5,11.7,93.38741668,#
,005C,13.125,22,14.15625,8.9,12.09,72.22950001,#
,002G,16.875,34.03333333,13.59375,9.2,11.18,86.79866668,#
,005B,14.58333333,34.30566667,10.921875,8.91,11.44,82.16079168,#
,003E,15.625,35.16666667,12.421875,9,11.83,86.04345834,#
,005E,17.91666667,34.11666667,13.5,9.9,12.09,89.52325001,#
,006E,17.5,33.66666667,12.375,8.6,10.92,84.97825001,#
,005F,4.583333333,21.3,11.23125,0,9.88,48.95283334,#
,002E,19.58333333,36.56666667,13.875,8.2,11.44,91.66491668,#
,007F,14.16666667,31.06666667,12,9,11.96,80.19333333,#
,003D,12.91666667,32.66666667,13.125,9.5,11.96,82.16825001,#
,005E,16.25,31.78333333,10.96875,9.3,11.7,82.00208333,#
,005B,18.54166667,40,14.484375,7.71,12.74,95.47595834,#
,002F,16.875,37,14.34375,9,13,92.13533334,#
,001C,8.541666667,8.666666667,8.625,9.8,11.96,49.50991668,#
