Username,SECTION #'S Text Grade <Text>,PRELAB,PROJECT REPORTS,PROJECT PROPOSALS,ORAL PRESENTATION,INSTRUCTOR LAB PERFORMANCE EVALUATION,Calculated Final Grade,End-of-Line Indicator
,002I,18.75,37.5,13.3125,9,12.22,92.74075001,#
,001F,18.125,30.29,12.046875,9.276,12.22,83.95779168,#
,003F,11.04166667,37.83333333,13.3125,9.7,13,86.88741668,#
,003F,11.25,36.83333333,13.3125,9.7,13,86.09575001,#
,005H,17.16666667,29.83333333,12.84375,8,11.986,81.82966668,#
,004J,12.70833333,30.24,12.515625,8.5,11.44,77.40387501,#
,002J,14.58333333,23.66666667,13.546875,9.2,11.7,74.69679168,#
,004H,12.08333333,32.6,6.140625,8.74,10.751,72.23154168,#
,003F,17.91666667,38.16666667,14.71875,9.7,13,95.50200001,#
,004H,19.16666667,33.26666667,12.328125,9.12,12.207,88.04670834,#
,006F,14.79166667,22.04333333,8.0625,8.28,11.57,66.62241668,#
,003I,16.25,35.16666667,13.125,9.8,12.22,88.56158334,#
,004H,10.20833333,31.26666667,12.609375,9.6,8.4955,74.05479168,#
,004K,15.41666667,36,14.625,9.4,10.92,88.36158334,#
,002J,16.875,34,11.859375,9.2,12.61,86.50262501,#
,004I,16.25,35.83333333,12.375,8.9,10.92,86.27825001,#
,004I,15.625,27.83333333,12.65625,9.43,11.31,78.72950001,#
,003L,1.25,0,0,0,2.34,5.464916677,#
,007I,3.75,0,8.25,0,6.24,20.15658334,#
,002I,12.29166667,25.4,11.0625,7.91,9.75,68.33075001,#
,004H,14.16666667,32.26666667,13.5,9.6,10.92,82.41158334,#
,004I,18.95833333,26.66666667,12.515625,7.95,10.92,79.01054168,#
,003I,15,30.66666667,11.625,9.6,12.74,81.63158334,#
,003L,10,29,12.65625,9.45,12.09,75.19616668,#
,004J,12.91666667,28.49,10.21875,7.98,11.7,73.30533334,#
,001F,16.875,31.69666667,13.03125,8.066,11.44,83.10883334,#
,002I,8.333333333,29.53333333,11.34375,8.5,9.75,69.46033334,#
,006H,13.33333333,32.5,13.96875,7.46,10.92,80.18200001,#
,007I,17.5,30,12.09375,9,13,83.51033334,#
,002J,12.29166667,28,12.796875,9.3,12.48,76.78512501,#
,005H,14.31666667,29.5,12.46875,8.2,12.168,78.61166668,#
,004J,10.41666667,17.91666667,10.03125,7.44,11.44,59.24450001,#
,002J,12.91666667,25.66666667,13.828125,9.1,9.23,72.40804168,#
,004J,10.83333333,28.10333333,11.765625,8.5,12.48,73.68220834,#
,004H,17.5,39.16666667,14.203125,8.23,11.869,92.96870834,#
,003H,9.166666667,26.16666667,9.84375,7.8,12.935,67.87033334,#
,004J,18.75,32.74666667,13.359375,8.7,12.48,88.03595834,#
,004G,14.79166667,32.5,13.125,8.3,12.22,82.81158334,#
,004K,10,33.16666667,9.28125,8.9,10.66,73.96616668,#
,003L,14.79166667,35.33333333,14.15625,9.5,12.22,88.00116668,#
,003F,15.41666667,34.66666667,12.9375,9.5,13,87.43741668,#
,004G,17.29166667,37.66666667,14.34375,8.8,12.74,92.84200001,#
,004G,19.16666667,36.5,14.25,8.4,12.74,93.05658334,#
,001F,17.29166667,29.5,13.6875,9.276,11.18,82.85175001,#
,004G,18.75,38.16666667,14.25,8.4,12.48,94.00491668,#
,003F,12.5,28,11.90625,9.2,12.48,75.96116668,#
,004J,18.75,30.25,11.625,8.3,12.48,83.40491668,#
,004G,16.25,35.33333333,12.84375,8.2,12.48,87.10700001,#
,001F,12.5,26.74,11.8125,9.276,12.35,74.67841668,#
,002I,19.375,33.36666667,13.40625,7.76,10.14,86.00616668,#
,004J,15.41666667,29.61,12.046875,8.3,11.96,79.33345834,#
,004G,17.08333333,33.66666667,13.5,8.8,13,88.04991668,#
,004I,14.375,31.83333333,12.5625,8.7,10.92,80.39075001,#
,004J,18.33333333,28.61333333,12.84375,8.97,12.48,83.07366668,#
,004K,17.08333333,33.75,12.375,8.25,10.4,83.85825001,#
,004J,14.58333333,27.33333333,12.515625,8.3,12.22,76.95220834,#
,004J,17.70833333,32.19333333,11.765625,8.7,11.96,84.24387501,#
,003H,14.16666667,32,13.5,9.25,12.675,83.59158334,#
,004H,12.91666667,32.5,12.75,7.72,10.9525,78.79741668,#
,004K,16.25,33.33333333,13.5,9.5,11.96,86.54325001,#
,004G,19.375,36.16666667,14.0625,8.4,13,93.00408334,#
,004J,16.04166667,31.66333333,12.515625,8.7,12.48,83.40054168,#
,002I,16.04166667,34.43333333,11.90625,7.54,10.92,82.75783334,#
,004K,7.083333333,12.66666667,12.5625,8.4,10.14,52.85241668,#
,004I,16.66666667,33.5,12.9375,8.85,11.18,85.13408334,#
,004G,15.83333333,36,12.9375,8.3,12.48,87.50908334,#
,004K,14.58333333,14.75,10.125,8.3,10.4,60.15825001,#
,004K,17.91666667,39,13.921875,9.6,11.7,94.09679168,#
,004J,13.54166667,30.05333333,12.09375,8.4,11.7,77.78866668,#
,001E,17.5,34.66666667,12.609375,9.5,11.96,88.23595834,#
,004G,18.75,37.83333333,13.875,8.4,13,93.85825001,#
,004K,16.25,32.58333333,12.84375,8.8,10.66,82.88700001,#
,004K,12.08333333,31.5,12.609375,8.9,11.18,78.27262501,#
,004J,15,33.13666667,12.796875,8.3,11.7,82.85012501,#
,004G,17.08333333,29,14.625,8.3,13,84.00825001,#
,004I,19.16666667,20.16666667,11.109375,6.35,10.14,68.89095834,#
,004K,19.375,32.58333333,13.78125,8.7,10.14,86.57950001,#
,004K,19.58333333,36.66666667,14.0625,8.8,11.18,92.29241668,#
,006H,17.91666667,37.5,13.5,8.32,11.7,90.89491668,#
,003G,18.75,34.5,14.625,9.8,12.22,91.68658334,#
,001F,14.375,36.75,12.984375,9.3,12.48,87.88929168,#
,003I,12.70833333,28.5,10.6875,8.7,11.7,74.29575001,#
,004J,15.41666667,27.06,12.375,8.4,11.44,76.69158334,#
,004I,18.125,24,12.234375,7.65,9.36,73.36929168,#
,004J,16.04166667,32.94333333,12.9375,8.3,11.96,84.14075001,#
,002I,15.625,35.03333333,13.21875,7.97,10.92,84.76700001,#
,001E,15.20833333,30.16666667,9.5625,8.5,12.74,78.17741668,#
,006F,19.58333333,30.77666667,9.328125,9,11.57,82.25804168,#
,003F,5.625,19.33333333,14.90625,6,13,60.78116668,#
