Username,Section #'s Text Grade <Text>,Exam 1,Exam 2,Exam 3,End-of-Line Indicator
,007D,55,49,31,#
,007J,72,76,57,#
,007E,41,56,56,#
,007E,38,49,29,#
,007I,35,32,27,#
,007F,46,40,28,#
,007J,77,40,44,#
,007E,56.5,75,54,#
,007A,29,31,30,#
,007I,43.5,50,35,#
,007J,65.5,57,37,#
,007A,29,32,,#
,007E,81.5,75,43,#
,007J,35,35,35,#
,007J,83,78,84,#
,007E,88,71,72,#
,007A,10,22,32,#
,007B,59.5,60,41,#
,007J,36,25,22,#
,007F,35.5,64,54,#
,007A,30,34,49,#
,007D,90,75,36,#
,007F,97,83,95,#
,007D,26,30,,#
,007B,69,52,42,#
,007D,49.5,35,56,#
,007E,39.5,21,,#
,007J,66,76,33,#
,007B,82.5,79,48,#
,007B,47.5,33,22,#
,007I,63,72,72.5,#
,007F,94,74,53,#
,007B,69,34,38,#
,007D,36,33,17,#
,007D,60.5,77,50,#
,007B,57,39,25,#
,007A,68.5,61,43,#
,007F,81,67,63,#
,007B,59.5,63,61,#
,007D,75.5,80,44,#
,007E,71,79,73,#
,007B,53.5,65,37,#
,007B,59,60,85,#
,007F,87,70,64,#
,007F,37.5,49,17,#
,007D,67,72,38,#
,007A,49.5,61,46,#
,007F,75,79,74,#
,007A,62,89,59,#
,007A,78.5,55,64,#
,007E,77,56,31,#
,007F,71.5,63,69,#
,007J,89,77,77,#
,007B,46,54,59,#
,007E,59.5,48,47,#
,007B,51,61,55,#
,007A,29.5,56,45,#
,007I,67.5,47,60,#
,007F,85.5,53,78,#
,007B,17,,,#
,007A,61,62,50,#
,007J,91,71,77,#
,007J,38,36,33,#
,007E,66,57,63,#
,007I,81,62,50,#
,007I,46,65,25,#
,007D,70.5,70,60,#
,007A,76.5,71,46,#
,007B,52.5,58,36,#
,007F,61.5,48,44,#
,007B,36.5,64,53,#
,007B,34,40,44,#
,007E,78.5,56,62,#
,007I,56.5,53,70,#
,007F,75,75,55,#
,007B,62,63,58,#
,007F,49.5,55,41,#
,007I,89,78,69,#
,007F,88,73,70,#
,007E,47.5,31,30,#
,007A,78,64,77,#
,007E,88.5,82,62,#
,007E,30,35,19,#
,007D,65.5,67,57,#
,007J,16.5,35,12,#
,007J,79,54,54,#
,007E,33.5,28,32,#
,007D,40,73,39,#
,007J,65.5,78,47,#
,007I,38,42,55,#
,007J,89,27,34,#
,007E,68,57,42,#
,007D,37,48,30,#
,007B,76,75,65,#
,007F,88,48,71,#
,007F,80.5,58,55,#
,007F,74.5,71,59,#
,007A,82,72,63,#
,007J,78,59,77,#
,007D,51,24,41,#
,007I,82,52,49,#
